Borough,Cohort Year,Cohort Category,Total Cohort #,Total Grads #,Total Grads   % of cohort,Total Regents #,Total Regents    % of cohort,Total Regents   % of grads,Advanced Regents #,Advanced   Regents   % of cohort,Advanced Regents    % of grads,Regents w/o Advanced  #,Regents w/o Advanced                          % of cohort,Regents w/o Advanced        % of grads,Local  #,Local   % of cohort,Local   % of grads,Still Enrolled #,Still Enrolled    % of cohort,Dropped Out  #,Dropped Out    % of cohort
Staten Island,2006,6 Year,4583,3629,0.792,2932,0.64,0.808,1193,0.26,0.329,1739,0.379,0.479,697,0.152,0.192,128,0.028,628,0.137
Staten Island,2007,4 Year  June,4490,3239,0.721,2867,0.639,0.885,1002,0.223,0.309,1865,0.415,0.576,372,0.083,0.115,738,0.164,385,0.086
Staten Island,2007,4 Year August,4490,3330,0.742,2921,0.651,0.877,1003,0.223,0.301,1918,0.427,0.576,409,0.091,0.123,649,0.145,382,0.085
Staten Island,2007,5 Year  June,4476,3463,0.774,2987,0.667,0.863,1005,0.225,0.29,1982,0.443,0.572,476,0.106,0.137,228,0.051,608,0.136
Staten Island,2007,5 Year August,4476,3494,0.781,3003,0.671,0.859,1005,0.225,0.288,1998,0.446,0.572,491,0.11,0.141,208,0.046,597,0.133
Staten Island,2007,6 Year,4473,3558,0.795,3030,0.677,0.852,1005,0.225,0.282,2025,0.453,0.569,528,0.118,0.148,83,0.019,645,0.144
Staten Island,2008,4 Year  June,4626,3331,0.72,3129,0.676,0.939,1083,0.234,0.325,2046,0.442,0.614,202,0.044,0.061,806,0.174,389,0.084
Staten Island,2008,4 Year August,4626,3452,0.746,3215,0.695,0.931,1085,0.235,0.314,2130,0.46,0.617,237,0.051,0.069,685,0.148,389,0.084
Staten Island,2008,5 Year  June,4600,3593,0.781,3314,0.72,0.922,1085,0.236,0.302,2229,0.485,0.62,279,0.061,0.078,271,0.059,561,0.122
Staten Island,2008,5 Year August,4600,3611,0.785,3323,0.722,0.92,1085,0.236,0.3,2238,0.487,0.62,288,0.063,0.08,254,0.055,561,0.122
Staten Island,2008,6 Year,4594,3667,0.798,3354,0.73,0.915,1085,0.236,0.296,2269,0.494,0.619,313,0.068,0.085,126,0.027,596,0.13
Staten Island,2009,4 Year  June,4543,3308,0.728,3085,0.679,0.933,1106,0.243,0.334,1979,0.436,0.598,223,0.049,0.067,747,0.164,372,0.082
Staten Island,2009,4 Year August,4543,3418,0.752,3173,0.698,0.928,1109,0.244,0.324,2064,0.454,0.604,245,0.054,0.072,640,0.141,372,0.082
Staten Island,2009,5 Year  June,4526,3589,0.793,3285,0.726,0.915,1110,0.245,0.309,2175,0.481,0.606,304,0.067,0.085,276,0.061,533,0.118
Staten Island,2009,5 Year August,4526,3616,0.799,3300,0.729,0.913,1110,0.245,0.307,2190,0.484,0.606,316,0.07,0.087,250,0.055,532,0.118
Staten Island,2009,6 Year,4521,3678,0.814,3325,0.735,0.904,1110,0.246,0.302,2215,0.49,0.602,353,0.078,0.096,144,0.032,554,0.123
Staten Island,2010,4 Year  June,4567,3486,0.763,3179,0.696,0.912,1054,0.231,0.302,2125,0.465,0.61,307,0.067,0.088,649,0.142,366,0.08
Staten Island,2010,4 Year August,4567,3612,0.791,3264,0.715,0.904,1057,0.231,0.293,2207,0.483,0.611,348,0.076,0.096,523,0.115,366,0.08
Staten Island,2010,5 Year  June,4548,3737,0.822,3332,0.733,0.892,1057,0.232,0.283,2275,0.5,0.609,405,0.089,0.108,219,0.048,472,0.104
Staten Island,2010,5 Year August,4548,3755,0.826,3341,0.735,0.89,1057,0.232,0.281,2284,0.502,0.608,414,0.091,0.11,201,0.044,472,0.104
Staten Island,2011,4 Year  June,4481,3392,0.757,3095,0.691,0.912,1083,0.242,0.319,2012,0.449,0.593,297,0.066,0.088,646,0.144,338,0.075
Staten Island,2011,4 Year August,4481,3468,0.774,3143,0.701,0.906,1083,0.242,0.312,2060,0.46,0.594,325,0.073,0.094,571,0.127,338,0.075
